"company","domain","country","town","q1_verdict","tool_level","q1_rank","sell_angle","tool_evidence","q1_category","q1_reason","niche","source","Annual Revenue","Size","Industry","Description"
"NOTARIFY","notarify.io","IT","ROVERETO","OUT","","","","","wrong business","software vendor. Possibly a competitor, not a prospect","Ceramic / Tile (verify)","Cersaie 2026","1M-5M","11-50 employees","Blockchain Services","The world’s No.1 platform for notarization in Blockchain, managing and signing your files!

10M+ notarizations
15 Tier-1 clients
200K+ users

Notarify is an international provider of blockchain services, with thousands of clients in several countries.

It certifies and secures all data, documents, signatures, and identities for any organization or individual.

The team is composed of blockchain professionals with deep expertise across industries."
"NOVABELL CER.ITALIANE","novabell.it","IT","ROTEGLIA","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Glass, Ceramics and Concrete Manufacturing","In un momento in cui le aziende diventano “marchi”, le persone sono considerate numeri , NovaBell ribadisce la sua identità di compagnia autentica che da tre generazioni tramanda i valori che l’hanno resa protagonista del made in Italy ceramico nel mondo: affidabilità, competenza, concretezza, innovazione, lungimiranza, eccellenza , passione, persone.
Sono questi i capisaldi della filosofia imprenditoriale che Silvio Bellei, uno dei padri fondatori dell’industria ceramica italiana, ha radicato nel DNA dell’azienda e che la famiglia porta avanti con competenza e passione. Produciamo superfici ceramiche in Gres Porcellanato e in pasta bianca per ogni forma dell’abitare contemporaneo, coniugando design e performance in una sintesi unica per capacità innovativa, potenza tecnologica, stile italiano, cura del dettaglio, concretezza di servizio, attenzione al cliente. Per poter andare lontano servono radici solide. Siamo al centro del distretto della ceramica di Sassuolo, dove le competenze tecnologiche e applicative si fondono in un “sapere diffuso” che favorisce chi sa coglierlo ed interpretarlo in modo originale. Il radicamento nel distretto va di pari passo con lo slancio internazionale che da sempre di distingue. Esportiamo il 90% della produzione in 90 paesi e in tutti i continenti e ci sentiamo a casa ovunque nel mondo perché affrontiamo ogni mercato nella sua specificità, ma con un metodo comune mettere il cliente al centro e puntare alla sua completa soddisfazione."
"NUCCI","nucci.design","IT","RIPATRANSONE","OUT","","","","","wrong medium","furniture or 3D ceramics. Engine renders flat patterns only","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","51-200 employees","Furniture and Home Furnishings Manufacturing","Flessibilità compositiva, modularità e personalizzazione del prodotto si coniugano con la scelta scrupolosa delle migliori materie prime, con l'attenzione ai dettagli tipica del lavoro artigianale e con l'efficienza di tecnologie d'avanguardia."
"NUOVA MONDIAL MEC","nuovamondialmec.com","IT","CERASOLO AUSA DI CORIANO","OUT","","","","","wrong business","plant and machinery, an explicit S7.4 exclusion","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Machinery Manufacturing","PRODUZIONE DI MACCHINE PER L EDILIZIA, UTENSILI E LORO PARTI DI RICAMBIO"
"Natamar","natamar.com","TR","Denizli","OUT","","","","","hand-verified","LIKELY OUT on the 14 Sept research: LIKELY OUT. 25 years producing travertine from Denizli, selling to chains and wholesalers in 30+ countries. Travertine production plus wholesale. Raw stone, gate 3","Tile / Stone (verify)","Coverings 2027","500K-1M","51-200 employees","Mining","ABOUT US
Founded in Denizli, together with its close proximity to unique travertine reserves in the area, NATAMAR has focused on to produce Travertine, Marble and Limestone products with 20 years of experience. Embodying both, a quarry and 2 factories within itself, NATAMAR aims at supplying natural stones in many various sizes of Tiles, Pavers, Mosaics, Borders, Medallions, Profiles and all Accessories within the highest quality and service according to its customer expectations.

FACTORIES
Factory#1
Yassihuyuk Mh. , Sanayi Alani, 56 Sk. No:13, Acipayam, Denizli – Turkiye 20800
Factory#2
Gurleyik Mh. Gurleyik Sk. No:4029, Honaz, Denizli – Turkiye 

OUR QUARRY
Travertine is formed through the rapid precipitation of calcium carbonate in ground at the mouth of hot springs which is a quite unique combination. The Quarry is situated within the boundaries of a village called Belevi, just outside Denizli where one of the rarest and excellent examples of this high quality formation is found in. Our Travertine quarry gives us a beautiful color variation. Its raw material is wellknown with the most robust and solid structure of the region.

QUALITY POLICY
NATAMAR is a natural stone construction material producer. It is conscious about being successful in durable, aesthetic and high quality products, reliable on time delivery, diminishing cost conditions and continuous customer satisfaction in order to realize all of the expectations of its customers, users and architects. We undertake to execute following processes:
• Accomplishing an effective quality management system.
• Continuous improvement in products and processes.
• Revealing feedbacks of customers, suppliers and employees.
• Developing new and efficient processes in order to optimize product costs, increasing quality and productivity of workers by improving working environment and training activities.
NATAMAR maintains the reliable and profitable cooperation with its customers and contributes the world architecture."
"Norafin Industries (Germany) GmbH","norafin.de","DE","Mildenau","OUT","","","","","hand-verified","EXCLUDE on the 14 Sept research: EXCLUDE. Technical nonwovens: spunlace, needlepunch and composite roll goods for filtration, performance apparel, medical, automotive, roofing. It sits in the Heimtextil wallcoverings hall as a substr","Murals & Wallcoverings","Heimtextil 2027","10M-25M","51-200 employees","Textile Manufacturing","As a solution-oriented supplier of spunlace and needlepunch nonwovens, as well as composites; we realize the importance of our environment. By focusing on sustainability, air quality, and environmental protection, we are able to provide our customers with nonwovens with minimal environmental impact.

Our highest priority segments include nonwoven solutions for protective apparel, filtration, technical and medical applications, cosmetics as well as cleaning. We have been involved in the production of technical nonwovens since the early 1980s and have successfully positioned ourselves as a niche market player. 

We are also committed to developing sustainable alternatives from natural fibres such as flax and hemp.

Environmentally friendly, functional, 100% biodegradable.

Our natural nonwovens meet the demands for durable and environmentally friendly products.

Join us in our mission to create a more sustainable future!


Legal notice: https://norafin.de/impressum/
Privacy: https://norafin.de/datenschutz/

Norafin Verwaltungs GmbH
Gewerbegebiet Nord 3
09456 Mildenau

Phone: +49 (0)3733 55070
E-mail: info@norafin.com

Represented by:
Mr. André Lang, Mr. Andreas Lang

Commercial Register: 12256 I
Registration court: Amtsgericht Chemnitz

Sales tax identification number according to § 27 a of the Sales Tax Law:
DE811902679"
"OF BAGNI","ofoutdoorkitchens.com","IT","COLLI AL METAURO","OUT","","","","","wrong medium","furniture or 3D ceramics. Engine renders flat patterns only","Ceramic / Tile (verify)","Cersaie 2026","1M-5M","11-50 employees","Furniture and Home Furnishings Manufacturing","OF outdoorkitchens - Life is outside, ovvero, la vità è fuori. All’interno della tua casa hai già scelto una cucina funzionale, di design, curata in ogni dettaglio. L’hai scelta per esprimere chi sei, con il tuo stile e il tuo gusto. Adesso è il momento di pensare all’esterno. Perché la tua vita è anche lì. Nel tuo giardino. Nel tuo attico. Nel tuo terrazzo. La cucina da esterno in acciaio è la soluzione perfetta per vivere i tuoi momenti di relax all’aria aperta. Grazie ad OF outdoorkitchens hai la possibilità di acquistare una soluzione modulare in acciaio. Elegante. Made in Italy. Indistruttibile. E soprattutto accessibile a tutti."
"OFFICINA NICOLAZZI","paini.com","IT","POGNO","OUT","","","","","wrong medium","sanitaryware and bathroom fittings. 3D, explicit exclusion","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Furniture and Home Furnishings Manufacturing","Dal 1954 Paini propone un’ampia gamma di rubinetteria: monocomando, arredobagno e cantiere, per ambienti da cucina, bagno e doccia. L’attuale produzione annua è di circa 4 milioni di pezzi. Il ciclo produttivo prevede l’utilizzo esclusivo di materie prime di qualità superiore, rispondenti alle rigorose norme UNI-CEE. 

Since 1954. Paini offers a wide range of taps - mixers, bathroom accessorieses and ship-building industry, kitchen, bath and shower associated products. We proudly produce 4 million pieces per annum. The production cycle provides the usage of high quality raw materials only, in conformity with the strict UNI-CEE standards."
"OIOLI","oioli.com","IT","GOZZANO","OUT","","","","","wrong medium","sanitaryware and bathroom fittings. 3D, explicit exclusion","Ceramic / Tile (verify)","Cersaie 2026","1M-5M","11-50 employees","Furniture and Home Furnishings Manufacturing","Oioli began 60 years ago on Orta lake’s shore; the piedmontese land of high quality taps and fittings, when the young Eusebio Oioli started producing and commercialising his products.
Simple taps, characterised by essential design and produced with great care. As all stories of those years, this historical company started with a life of privations, hard and tough work. A tradition that has not come to an end, as today, we can see the third generation, Oioli; a factory in continuous development."
"OPIFICIO CERAMICO","opificioceramico.com","IT","MODENA","OUT","","","","","revenue","0-500K is under the $1M gate (S7.4)","Ceramic / Tile (verify)","Cersaie 2026","0-500K","2-10 employees","Design Services","Realtà modenese specializzata nella produzione di rivestimenti ceramici.
Nel laboratorio con sede in provincia di Modena, l'azienda lavora la materia in modo artigianale.

Opificio Ceramico si distingue proprio per l'approccio artigianale e insieme tecnico: un percorso sperimentale ed originale da cui è nato NeoClayTM, marchio registrato, un nuovo impasto ceramico creato con le argille utilizzate per il gres porcellanato a cui sono l’aggiunti minerali ed altri componenti naturali.
La produzione viene realizzata per estrusione, utilizzando impasti umidi. 
Nasce così una pasta colorata e non uniforme, dall'originale personalità materica, che assorbe il colore e lo distribuisce in maniera differente all’interno della sua massa.

I prodotti realizzati con il materiale NeoClayTM possono essere impiegati in qualsiasi ambiente, residenziale, commerciale anche ad alto transito, sia a pavimento che a rivestimento."
"OTTOFOND","groupeottofond.com","FR","AVRILLE","OUT","","","","","wrong medium","sanitaryware and bathroom fittings. 3D, explicit exclusion","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","11-50 employees","Wholesale","Welcome to the world of Groupe Ottofond, where trends, innovation and know-how blend together. 

Established on the European market of sanitary wares since 1982, Groupe Ottofond has the capacity to develop a diversified and complete multi-product offer for various distribution networks of the industry.

Since its creation, Groupe Ottofond puts client satisfaction at the heart of its innovations. We offer you a range of products whose design, manufacturing quality and very competitive prices are the result of a permanent search for excellence and a constant commitment to quality.

Our dynamic teams do their best every day to guarantee you an excellent service and support in their area of expertise.

Therefore, Groupe Ottofond offers 2 brands that will meet your expectations :

 • O'Design, a creative, trendy and innovative brand which has been conceived for demanding customers looking for design and customization, to be found in exhibition rooms.

• OZÉ, the ready-to-install quality products which has been conceived for customers looking for decorative products, easy to assemble and economical, to be found in large DIY stores.

Explore and immerse yourself in the world of our catalogs : 
O'Design : https://o-design.fr/ 
Ozé : https://oze-salledebains.fr/

More than ever, our listening and your trust are the keys to the success we are building together."
"OVERLAND CERAMICS","overlandceramics.com","CN","FOSHAN","OUT","","","","","wrong business","quarrying. Raw stone, no pattern","Ceramic / Tile (verify)","Cersaie 2026","0-500K","","Mining",""
"PAA","paabaths.com","LV","RIGA","OUT","","","","","wrong medium","sanitaryware and bathroom fittings. 3D, explicit exclusion","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Consumer Goods","PAA designs, manufactures and sells high quality and beautiful bathtubs, washbasins and shower trays. All our products are made from the finest quality materials and designed by top European designers.

Our products are sold in PAA European showrooms and galleries as well as through retailers, interior designers and builders.

We are one of the few manufacturers that offer custom colour bathroom fixtures.

Contact us for more information. We ship worldwide.

If you are interested in becoming part of the PAA Sales Team in your country please contact us. We are expanding rapidly and looking for world class team members to join us."
"PADANA ENGINEERING","casalgrandepadana.it","IT","CASALGRANDE","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","501-1,000 employees","Architecture and Planning","Casalgrande Padana has been manufacturing cutting-edge ceramic tiles for 60 years: innovative and environment-friendly solutions for the creation of coatings, floors and coatings capable of responding to any creative and technological requirement of the world of architecture and design.

However, Casalgrande Padana is not just a supplier, it gives pride of place to service and design consulting, with the highest executive and architectural standards in mind.

Casalgrande Padana adopts an industrial policy that is powerfully focussed on technological innovation and environmental sustainability. The Company is intensively engaged in research and experimentation for continuous product improvement in terms of appearance and performance. All its manufacturing, research and innovation take place in 100% Italian-based plants and laboratories.

Every stage in the process is constantly monitored: from the selection of the raw materials to storage; from the grinding of the blend to the mixing and cooking of the tiles; from the manufacturing process to quality control on the end products; from unfailing technical training to effective professional assistance, evidence of the Company’s efforts to improve its manufacturing processes and pursue the highest standards ever.

Entirely made of natural raw materials, Casalgrande Padana’s stoneware is manufactured through a closed-circuit process that stands out for an extremely low environmental impact. 

The Company’s ceramic products go far beyond the usual products you can find on the market, as they are fit for any purpose or type of building."
"PAFFONI","paffoni.it","IT","POGNO","OUT","","","","","wrong medium","sanitaryware and bathroom fittings. 3D, explicit exclusion","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Furniture and Home Furnishings Manufacturing","Fondata nel 1953, la Rubinetteria Paffoni S.p.A. è una realtà aziendale di successo in continua espansione nel settore della rubinetteria sanitaria. 
Impiegando i materiali migliori e avvalendosi delle più moderne tecnologie, l’Azienda ha saputo qualificare la propria produzione con un rapporto qualità-prezzo assolutamente interessante per i propri interlocutori commerciali operanti sia sul mercato nazionale che estero. Tutti gli articoli vengono progettati direttamente dall’ufficio tecnico interno, in stretta collaborazione con il management dell’Azienda e in conformità alle principali normative vigenti, creando forme dall’elevato valore stilistico in grado di rispondere alle diverse esigenze del mercato.
Una razionale politica di investimenti in ricerche, design e tecnologia, il ricorso ai migliori prodotti e i controlli computerizzati in tutte le fasi produttive hanno reso possibile il conseguimento di un elevato “standard qualitativo”.
In sintonia con questa filosofia imprenditoriale, recentemente è stata inoltre creata la “FONTE WATER HOUSE srl”, divisione specializzata nella produzione di una linea di rubinetteria di alta qualità caratterizzata da stile e design.
La gamma prodotti completa PAFFONI e FONTE risulta così composta da numerose serie di rubinetteria tradizionale a due maniglie, miscelazione monocomando e termostatica, tutte realizzate in varie finiture e completate da diverse linee di accessori in grado di soddisfare le più svariate esigenze di funzionamento tecnico, di prezzo e di qualità."
"PAIL SERRAMENTI","pailporte.com","IT","ATESSA","OUT","","","","","wrong medium","joinery, trims, profiles, fixing systems, lighting or fireplaces. Not a designed flat surface","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","51-200 employees","Architecture and Planning","Una tradizione che dura dal 1963 da quando il giovane falegname Amerigo Pellegrini aprì un piccolo laboratorio per realizzare porte e finestre in legno. 

Negli anni la crescita è stata esponenziale, partendo dalla profonda conoscenza della materia prima e delle tecniche di lavorazione, diventate oggi la forza di un'azienda conosciuta in Italia e all'estero. 

In più di 50 anni Pail ha saputo coltivare il proprio know-how, basando la propria attività sul coinvolgimento della famiglia che oggi dirige le differenti divisioni aziendali displocate nei 100 mila mq suddivisi in quattro stabilimenti ad Atessa (Ch) in Abruzzo. PAIL oggi rappresenta il vero Made in Italy con una produzione totalmente interna, ma il modo migliore per cogliere PAIL nella sua essenza resta quello di affidarsi ad un’ampia gamma di prodotti eleganti, confortevoli, dove spiccano porte per interni di alto design."
"PALETTE CAD ITALIA","palettecad.it","IT","BOLZANO","OUT","","","","","wrong business","software vendor. Possibly a competitor, not a prospect","Ceramic / Tile (verify)","Cersaie 2026","0-500K","","Software Development",""
"PAMBIANCO","design.pambianconews.com","IT","MILANO","OUT","","","","","wrong business","trade magazine or publisher, not a maker","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Book and Periodical Publishing","Pambianconews è il quotidiano online più autorevole e diffuso in Italia, dedicato a imprenditori, manager e opinion leader del mondo della Moda e del Lusso. 

Dotato di un forte core business orientato al mondo del Fashion, Pambianco abbraccia diversi settori di riferimento del mondo del lusso tra cui: Beauty e Cosmetica, Wine & Food, Turismo e Hotellerie, Design e Arredo e Real Estate.

Fondato nel 2001, il magazine è oggi un punto di riferimento per i protagonisti delle industries e conta più di 90.000 utenti registrati.

Ogni giorno pubblichiamo news, approfondimenti, articoli e interviste per rimanere sempre aggiornati sul mondo del lusso."
"PAMESA","pamesa.com","ES","VILA-REAL-CASTELLÓN","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Building Materials","A company dedicated to design, manufacture, distribution and commercialization of ceramic wall and floor tiles since 1972. With digital technology now fully integrated in the firm, we provide ceramic tile solutions in a fusion of the most up-to-date and functional aesthetics to create environments that stand out for their exquisite quality, evoking the perfect balance between innovation and nature."
"PAVIGRES","pavigres.com","PT","ANADIA CODEX","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026 + Coverings 2027","200M-500M","501-1,000 employees","Glass, Ceramics and Concrete Manufacturing","A Pavigrés Cerâmicas SA é, hoje, a fusão de Pavigrés, Grespor, Cerev e Feri & Masi.

Continuamos a ser uma empresa totalmente privada, que dá trabalho a mais de 600 colaboradores, conduzida hoje por uma segunda geração que procura adaptar a empresa às realidades do século XXI, ao mercado que temos pela frente, com suas dificuldades económicas por um lado e desafios tecnológicos, ambientais e normativos, por outro.

Dinâmica, Visão, Trabalho, Serviço e Qualidade, queremos que continuem a ser os lemas da Pavigrés Cerâmicas, SA.
 
José Diogo
Presidente do Conselho de Administração"
"PERONDA","peronda.com","ES","ONDA-CASTELLÓN","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Construction","PASSION FOR DETAIL

A long history
Peronda has manufactured wall and floor tiles since 1827 with a view to offering consumers a superior selection of products. Thanks to this long history in the Spanish tile sector, the company has grown and evolved and it currently has customers in over 100 countries. Due to its extensive experience and a learning curve in which it takes pride, Peronda has forged a reputation for its quality and dedication. 


Research and innovation
At Peronda, we regard innovation and investment in technology to be fundamental in our bid to offer top-quality cutting-edge products with a strong design appeal. A manufacturer at the forefront of research into tile design and techniques, Peronda’s products always have something that sets them apart from the rest. Thanks to ongoing research activities and the application of new techniques, we are able to offer consumers top-quality one-of-a-kind products. 


Peronda’s goal
We aspire to convey our passion for ceramic tiles through a unique range that combines the assurance of a top-quality product with a design and development process that sets them apart from other tiles. Our versatile products stand out for their superior design and timeless appeal, thanks to their style and exquisite finer details."
"PH DESIGN","phdizayn.com","TR","ISTANBUL","OUT","","","","","wrong medium","joinery, trims, profiles, fixing systems, lighting or fireplaces. Not a designed flat surface","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Wholesale Building Materials","At PH DESIGN, we blend design and engineering with our diverse range of products. With our expertise in shower channels, floor drains, and technical profiles, we offer functionality and aesthetics for your spaces under one roof. Leaving our own mark, we infuse uniqueness into your spaces' character with our quality and innovative products."
"PIEMME","ceramichepiemme.it","IT","FIORANO MODENESE","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Building Materials","Innovative, independent, flexible, efficient, trendsetter and sustainable: these are the characteristics that best describe CERAMICHE PIEMME. A company that has been operating in this sector for over 60 years at the international level, which firmly bases its path on these values, looking into the future.
Ceramiche Piemme can count on a ductile and dynamic production department, alongside a technical and research and development laboratory, designed to meet the needs of our customers. We believe in the strength that originates from the synergy with our customers. The strength of collaboration, which creates a greater and better result than the one we could create individually. This is how, when the product integrates with the service, new ideas can be born.
This is why Ceramiche Piemme develops solutions for its customers. Solutions that allow us to respond in a better and faster way to the demands and challenges of the global market, implementing a virtuous cycle of global and shared growth of all the partners involved. For us the customer is a partner, because you can’t create value alone, but you can create value together."
"PLASDECOR","plasdecor.com","ES","ALMAZORA","OUT","","","","","revenue","500K-1M is under the $1M gate (S7.4)","Ceramic / Tile (verify)","Cersaie 2026","500K-1M","2-10 employees","Construction","Pioneros en la fabricación y comercialización de perfiles y complementos para la cerámica y la construcción, consolidándos como líderes en nuestro sector. Te ofrecemos una gran variedad de soluciones metálicas creadas pensando en cumplir con todas las expectativas y necesidades que puedas tener en el desarrollo de tu proyecto. Trabajamos para que tengas a tu disposición perfiles y complementos resistentes y versátiles con un diseño cuidado y estético. Además, siempre trabajamos con las últimos avances tecnológicos y con materiales de máxima calidad. Para nosotros, ofrecer la mejor solución para tus proyectos es prioridad, y es por ello que también puedes contar con nuestros servicios tanto en el mercado nacional como en el internacional; siempre con un trato directo y cercano para que recibas toda la información y asesoramiento que necesites.

Pioneers in producing and selling steel profiles as well as supplements for tile and the building industries, established as sector leaders. We offer you an ample variety of metallic solutions created to achieve every project's needs. We work to offer you strong, versatile profiles and supplements with a great design. Furthermore we are on spot with the latest technologies and the best materials. For us to be able to offer you the best solution for you project is a priority, that's why you can also count with our service in our national market as well as in the international; always with a close and direct communication in order for you to receive the info and advice required."
"PLATFORM","platformarchitecture.it","IT","MILANO","OUT","","","","","wrong business","magazine, trade fair or association. Nobody here buys a tool","Ceramic / Tile (verify)","Cersaie 2026","1M-5M","11-50 employees","Online Audio and Video Media","Not a just a magazine but a platform on architecture and design!
Platform architecture and design,  è un magazine bimestrale di cultura e aggiornamento professionale dedicato al mondo dell’architettura e del design.  
#Platformarchitecture #platformarchitectureanddesign"
"PORCEMALL USA","porcemall.com","US","Deerfield Beach","OUT","","","","","hand-verified","LIKELY OUT on the 14 Sept research: LIKELY OUT. Founded 2002, US arm since 2014, a distributor of floor and wall tile imported from Europe and Asia, sold through 500+ authorised stores in Florida. Gate 3","Tile / Stone (verify)","Coverings 2027","1M-5M","2-10 employees","",""
"PROCONCEPT","proconceptiles.com","ES","ALCORA","OUT","","","","","commodity volume","criterion 3: large fixed-SKU producer, no bespoke, custom or own-collection language anywhere in the description","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","201-500 employees","Construction","PROJECT. PROCESS. PROGRESS. PROCONCEPT
A new ceramic concept has been born. 
ProConcept is a new way of conceiving ceramic as never before."
"PROFILBER","profilber.com","ES","IBI (ALICANTE)","OUT","","","","","wrong business","composites and plastics, wrong medium","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","11-50 employees","Plastics Manufacturing","Profilber company is a benchmark in the composites sector. We work with a philosophy based on sustainability, quality and experience.

Our business model is based on anticipating and responsibly managing new forms and processes that allow our clients to obtain improvements in sustainable development.

We supply products for different sectors made with polyester reinforced in fiberglass, carbon and basalt by the pultrusion system.

Our great team of professionals in charge of different industrial areas where product quality and customer service make us a reference.

We develop actions aimed at the responsible consumption of energy with renewable energies in the production processes as well as we are a company committed to sustainable development offering products that allow savings and a commitment to the environment.

We continue advancing in innovation and development incorporating new materials such as graphene as well as investing in new production processes that allow us to grow as a company providing sustainable development to society as well as to different industrial sectors."
"PROFILITEC","profilitec.com","IT","ISOLA VICENTINA","OUT","","","","","wrong business","plant and machinery, an explicit S7.4 exclusion","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Industrial Machinery Manufacturing","Since 1966, our group has been a significant and well-established player in the industry. Over the years, our production has expanded and diversified, increasingly establishing us as a technical and quality-focused company. We operate in more than 90 countries, providing technical and sales support in 10 different languages. We are always at the forefront of developing new and exclusive solutions to installation challenges, with a portfolio of important patents and innovative inventions to our credit.
Profilitec is an emerging leader in the fields of design, residential construction, and public works. Our product range expands monthly and remains aligned with real-world design needs—in terms of shapes and materials—offering innovative and high-quality technical construction solutions."
"PROGETTO IDEA STELLA","ideastella.com","IT","MONTEPRANDONE","OUT","","","","","wrong medium","sanitaryware and bathroom fittings. 3D, explicit exclusion","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Furniture and Home Furnishings Manufacturing","Nata nel 1996, Idea Stella è diventata un punto di riferimento nell'arredo bagno, combinando tradizione artigianale e innovazione tecnologica. Con una produzione interamente Made in Italy, realizziamo mobili di alta qualità, garantendo un design elegante e funzionale. La nostra struttura all'avanguardia di 20.000 mq ci permette di curare ogni dettaglio, dalla selezione delle materie prime alla fabbricazione finale, per offrire soluzioni uniche e durature. Scopri il nostro percorso di crescita e innovazione"
"PT. Sun Power Ceramics","sunpower.id","ID","Mojokerto, East Java","OUT","","","","","hand-verified","LIKELY OUT on the 14 Sept research: LIKELY OUT. Since 2010, a benchmark in marble-effect ceramic surfaces on Italian technology, five finishes, standard colour families. Volume catalogue","Tile / Stone (verify)","Coverings 2027","75M-200M","501-1,000 employees","Wholesale Building Materials","PT. Sun Power Ceramics is a manufacturing company that manufactures ceramics and porcelain. PT Sun Power Ceramics has 95 local distributor partners and 3 companies in 3 countries in ASIA. Specializes in the design and manufacturing of premium ceramics and porcelain tiles for highend interiors and exteriors. Produced by using the combination of the Italian technologies and the European materials, various design, and uncompromising quality, technologically superior products and dependable services, resulting in a prestigious collection of walls and floorings.

Sun Power Ceramics will continue to assert itself as the supplier of choice in its core product categories through a dynamic company-owned and independent distribution network. By anticipating and delivering inspiring and advanced solutions to the needs of an ever-evolving market, it will maximize value for its shareholders and stakeholders.

Sun Power Ceramics get the Certifications verified the implementation of its quality management system and certified the company in compliance with the requirements of ISO 9001:2015 with the scope covering the design, development, production, and supply of ceramics and porcelain floor and wall tiles. Indonesian Ceramics Center (BBK) also certified Sun Power Ceramics for ISO 13006:2010 Ceramic and Porcelain Tiles Product Suitability"
"Pavit Ceramics","pavits.com","IN","Ahmedabad","OUT","","","","","hand-verified","LIKELY OUT on the 14 Sept research: LIKELY OUT. Established 1989, India's largest full-body porcelain maker, brands PAVITS and VICTORY, present in 40 countries. Already runs a tile visualizer, so it belongs in the has-a-configurator not","Tile / Stone (verify)","Coverings 2027","75M-200M","501-1,000 employees","Building Materials","Pavit Ceramics Pvt. Ltd. is the leading tiles manufacturer company in India for Interior & exterior applications."
"Pufas Werk KG","pufas.de","DE","Hann. Münden","OUT","","","","","hand-verified","EXCLUDE on the 14 Sept research: EXCLUDE. Founded 1928, makes products for painters and decorators: pastes, adhesives, fillers, cleaners. A trade-supply company in the wallcoverings hall, not a wallcovering designer. Explicit S7.4 ex","Murals & Wallcoverings","Heimtextil 2027","25M-75M","51-200 employees","Chemical Manufacturing","Von Beginn an wollten wir Produkte für Handwerker produzieren. Das Leben und die Arbeit verbessern. Dafür haben wir starke Marken aufgebaut und uns und unser Sortiment seither stetig weiterentwickelt. Die Ziele sind geblieben und einige hinzugekommen. Sie bewahren die Verbindung zu unserer Tradition und bereiten den Weg in die Zukunft.

Was uns auszeichnet? Unsere Mitarbeiter. Qualität ist das, worauf wir stolz sind. Dafür steht jeder Einzelne – Und dann sagen wir oft „Das ist von UNS“. Wir garantieren die sichere Versorgung unserer Kunden. Größten Wert legen wir auf unsere Qualitätssicherung - Der Entwicklung, der Fertigung und der Anwendung.

Tapezieren, Kleben, Spachteln, Vorbereiten und Spezialreinigen. Wir decken die volle Sortimentsbreite ab und exportieren heute weltweit in über 50 Länder. Unsere Produkte sind Made in Germany. Mit hoher Qualität, Know-how und umfassenden Serviceleistungen.

Wir sind immer für Sie da... Versprochen!"
"QUA","qua.com.tr","TR","Aydin","OUT","","","","","hand-verified","LIKELY OUT on the 14 Sept research: LIKELY OUT. QUA Granite started production in 2016 and now runs Turkey's largest technical-granite-only plant at 41 million sq m a year with 1,000+ employees, exporting to 100+ countries. Pure volume.","Tile / Stone (verify)","Coverings 2027","200M-500M","1,001-5,000 employees","Glass, Ceramics and Concrete Manufacturing","2016 yılında Aydın Söke Organize Sanayi Bölgesi’nde kurulan Qua Granite, sektörün en büyük ve en son teknoloji üretim bandına sahip. Farklı ebat, kalınlık ve desenlerde üretim yapan Qua Granite, üretim sırasında kullandığı suyun tamamını doğaya geri kazandırarak sıfır atık prensibiyle hareket eder. Yıllık 45 milyon m2 üretim kapasitesi ile sektörün en hızlı üretim teknolojisini birleştiren Qua Granite, henüz üretime yeni başlamasına rağmen dünya pazarında da adından sıkça söz ettirmeye başladı.


Qua Granite, founded in 2016 in Aydin Söke organized industrial zone, has the industry's largest and latest technology production band. Qua Granite, which produces different sizes, thickness and patterns, moves all the water it uses during production with a zero waste principle by restoring it to nature. Combining the industry's fastest production technology with an annual production capacity of 45 million m2, Qua granite has started to mention its name in the world market, although it has just begun production."
