"company","domain","country","town","q1_verdict","tool_level","q1_rank","sell_angle","tool_evidence","q1_category","q1_reason","niche","source","Annual Revenue","Size","Industry","Description"
"Quemere Designs","quemeredesigns.com","US","Middletown","CANDIDATE A","ADVANCED","4-ADVANCED","CORRECTS MY 14 SEPT CALL. I ranked Quemere the top TCNA row on the premise it had no configurator; it has a good one. It moves to the has-a-configurator A/B cohort. The gap is that the builder only recombines preset geometric patterns, it cannot originate a motif || THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","Full mosaic builder on its own subdomain, designyourown.quemeredesigns.com: choose a pattern (Flame, Wave, Chevron, Cube, Prism), set up to 4 colours, adjust colour percentages, preview, download a PDF","in scope","hand-verified priority on 14 Sept: PASS priority. Only handmade tile factory on the East Coast by its own claim, since 1987. 400+ shapes, 500+ glaze colours plus custom colours, every order custom glazed to one dye ","Decorative / Artisan Tile","TCNA","5M-10M","","","Quemere Designs is a tile design and manufacturing company that produces mosaics, deco tile, boards, murals, borders, and liners."
"AB (AZULEJOS BENADRESA)","azulejosbenadresa.com","ES","VILLAFAMÉS","CANDIDATE B","ADVANCED","4-ADVANCED","Already solved, and they even segment it by audience. A/B cohort row: what does their 3D room lack that generation adds? || THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","create3d, their 3D Superb program: build your own 3D settings from their collections, multiple laying options, in two versions, HOME for everyone and PRO restricted to professionals","in scope","own collections or trade-facing; also distributes, confirm the maker share","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Wholesale","Fiel a su filosofía de evolución constante, Azulejos Benadresa, con sus novedosas colecciones en diferentes formatos, colores y acabados, ofrece un mundo de infinitas posibilidades para la creación de un estilo personal para cada ambiente.

Gracias a un exigente proceso de fabricación, una cuidada selección de las mejores materias primas y el uso de la más moderna tecnología, Azulejos Benadresa está presente en más de un centenar de países gracias a la reconocida calidad de sus productos.

Es tiempo de crear, es tiempo de AB."
"ALICE CERAMICA","aliceceramica.com","IT","CIVITA CASTELLANA","CANDIDATE B","ADVANCED","4-ADVANCED","RECLASSIFY AS OUT. The range is WCs, bidets, washbasins, bathtubs and shower trays. Sanitaryware, 3D, an explicit S7.4 exclusion. My category gate let it through because 'ceramica' matched the core-niche test || THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","A Configura Prodotto product configurator with 3D visualisation across their range","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Glass, Ceramics and Concrete Manufacturing","Alice Ceramica is based in Civita Castellana, 35 km northeast of Rome, Italy. Since 1998 we have been perfecting our production of Italian washbasins, WCs, bidets, bathtubs and shower trays, all rigorously made in-house in our factory located among the gorgeous Tuscia hills.

While we may be a young company, we pride ourselves for being creative and ambitious to challenge the traditional dogmas of the sanitary-ware industry. Captivating and never seen before lines, high attention to customer experience and a modern mindset have quickly earned us the reputation of a new key player in a town that is home to some of the leading brands of sanitary-ware in the world.

We produce in Civita castellana 100% of our production, and we employ almost 100 employees on a full-time basis. Our artisans craft our collection with semi-industrial processes, and we tend to stay away from mass productions in favor of a selected clientele and an exceeding output quality. Our management has years of experience in the largest firms in sanitary-ware, and decided to undertake the challenge of revolutionizing once again the industry by introducing lines like NUR or SPY, our most exclusive, patented creations. 

It is no surprise that the heritage of the region and the long standing traditions in ceramic-working heavily shaped Alice’s ability to exceed any expectations in terms of design and reliability. Quality, innovation and a hint of pride makes our creations unique.

Come meet the new Alice."
"APARICI","aparici.com","ES","ALCORA-CASTELLÓN","CANDIDATE B","ADVANCED","4-ADVANCED","Solved. A/B cohort || THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","Aparici 3D, described on their own blog as a 3D tile simulator: visualise and personalise a space before buying","in scope","bespoke/handmade language; also distributes, confirm the maker share","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","51-200 employees","Construction","Cerámicas Aparici representa la más alta calidad de fabricación y diseño innovador. La cerámica y el porcelánico premium de esta empresa familiar actúan como una fuerza motriz para los desarrollos y tendencias de toda una industria y están presentes en todo el mundo.

El éxito de nuestra marca, como fabricantes de azulejos, se basa en un principio que se ha mantenido durante más de 50 años, el de desarrollar productos que nunca fueran a considerarse como un mero material de construcción, sino como un

The success of our manufacturing brand is based on a principle that has held good for more tan fifty years, namely that our products should never be regarded as a mere building material, but as an essential part of interior and architectural design with the guarantee of their excellent qualitative and aesthetic standards.

It was in the 1940s that Maximiano Aparici started producing handmade red bodied bizcocho tiles in a small kiln in the Spanish town of Alcora, known since the sixteenth century for its important pottery tradition. These tiles were manufactured with the same local red clay that was used back then, and that is still used today, and then sold on to glazing studios that would apply colour and designs on the unglazed surface.

After two decades manufacturing tiles himself in his kiln, Maximiano Aparici, together with his wife, founded Ceramicas Aparici in 1961. The first Ceramicas Aparici factory was his proud accomplishment; it was a small factory, however, it gave him the chance to start manufacturing tiles including the final glazing process, that he had been unable to do before, using his bicottura or double firing technique.

More than fifty years and three generations later, Ceramicas Aparici has grown into a company exporting to over 140 countries worldwide and different production plants within the town of Alcora and immediate surroundings.  The essence and values of our company have nevertheless remained as those inherited from Maximiano Aparici."
"APPIANI","gruppobardelli.com","IT","MILANO","CANDIDATE B","ADVANCED","4-ADVANCED","THE MOST IMPORTANT COMPETITIVE FINDING IN THIS PASS. MyCustom is functionally MEC Artworks AI's image-to-mosaic feature, already public, from an Italian mosaic group. It is proof the market wants this, and proof MEC's differentiator cannot be 'turn a picture into a mosaic' - it has to be generation from a description, which MyCustom still cannot do || THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","THREE live configurators: MyMix (build custom mosaic colour and finish blends), MyDegrade (define gradient progression and intensity), and MyCustom, which transforms ANY IMAGE OR GRAPHIC INTO A CUSTOM CERAMIC MOSAIC","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Glass, Ceramics and Concrete Manufacturing","Gruppo Bardelli S.p.a is a consolidated and dynamic industrial company with legal headquarters in Milan, via Montenapoleone and two production units in Cerrione, in the province of Biella and in Oderzo, in the province of Treviso. It is a reference point in the world of high-end ceramic with the brands Ceramica Bardelli, Ceramica Vogue and Appiani.

The company, with a strong family history, now in its third generation, combines ceramic tradition with innovation, the continuous Research and Development and design creativity, positioning itself on the international market as the Gruppo Bardelli.

Ceramica Bardelli represents a successful combination between a quality excellence characteristic of Made in Italy and expressive solutions of visionary design, where the company’s know-how is used to provide a service of prestigious collaborations with international designers in order to create an innovative and sophisticated ceramic product. 

Ceramica Vogue, under the sign of color, is a brand which expresses a system of formats and specialized solutions for architecture and provides a full range of products for design service, characterized by a strong expressive and functional modularity, perfect for ranging from residential to extra-residential with the best quality-price ratio.

Appiani presents itself as a mosaic specialist, the only Italian ceramic mosaic company capable of providing collections with a strong expressive and functional modularity, suitable for residential and extra-residential use, for indoor and outdoor applications, up to applications in highly specialized functional contexts like Wellness & Pool, in the cruise and yachting field, in facade coatings and in the flooring of large areas."
"ATLAS CONCORDE","atlasconcorde.com","IT","SPEZZANO DI FIORANO","CANDIDATE B","ADVANCED","4-ADVANCED","Solved, and enterprise. Deprioritise || THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","A published 3D software suite for designers plus a configurator, at /software-3d","in scope","own collections or trade-facing; also distributes, confirm the maker share; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","200M-500M","501-1,000 employees","Glass, Ceramics and Concrete Manufacturing","Follow a leading Italian ceramic brand with a unique three-brand ecosystem — chosen by the world's best architects, interior designers, property developers, hospitality brands and iconic furniture makers.

A global premium ceramic brand rooted in Italian design excellence and continuous innovation — built to enrich every space with high-performing, sustainable surfaces. One ecosystem of three complementary brands, one unified vision: One Space.

Three brands. One ecosystem. One space.
· Atlas Concorde — floors, walls and decors for architecture, interior design and contract
· Atlas Plan — large-format porcelain slabs for countertops, tables and furniture
· Atlas Concorde Habitat — furniture with Atlas Concorde surfaces

Atlas Concorde is an Italian family-owned company founded in 1969 with HQ in Fiorano Modenese (Modena) in the heart of Italian ceramic district. It is active in more than 120 countries through 4 production facilities, 16 commercial offices, 7 Atlas Concorde Studios and approximately 800 employees & associates. Available at leading dealers globally.

www.atlasconcorde.com

New collections, design inspiration, technical specifications, landmark projects, outdoor applications and contract updates — everything you need to specify, design, build, stock or create with Atlas Concorde."
"AZULEV","azulev.com","ES","ONDA","CANDIDATE B","ADVANCED","4-ADVANCED","Solved. A/B cohort || THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","HOME DESIGN 3D: create your own 3D environments using the full Azulev ceramic range, at /azulev3d","in scope","bespoke/handmade language; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Building Materials","Azulev se ha consolidado en el sector cerámico con un objetivo muy claro: mejorar la vida de las personas de su entorno. Con más de 80 años de experiencia en el sector, ha ido evolucionando desde la cerámica tradicional a productos de gran formato e innovadores. Exportamos a más de 100 países en todo el mundo y estamos presentes en las ferias internacionales más importantes.

Especializada en la producción de revestimiento porosos monococción y gres porcelánico en una amplia gama de formatos y acabados. Sus productos se caracterizan por sus características de alta tecnología, diseño innovador y calidad inmejorable.

La protección del medio ambiente, la creación de productos sostenibles, el asesoramiento personalizado y el diseño vanguardista han permitido que esta empresa se consolide en el sector cerámico."
"BETSAN GLASS MOSAIC","betsan.com","TR","ISTANBUL","CANDIDATE B","ADVANCED","4-ADVANCED","One of the most complete tools found. The night-time pool view is a detail MEC's engine does not do || THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","design.betsan.com, launched as a first in the industry: choose from 101 glass mosaics and 9 porcelain tiles, add grips, gratings and terrace tiles, view the result in daytime AND night-time light, get an instant quantity calculation, download the design","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","51-200 employees","Glass, Ceramics and Concrete Manufacturing","In 1992, the Istanbul Metropolitan Municipality of Turkey Betsan Cam Seramik Sanayi ve Tic. AS. Is the leading company in glass mosaic production sector.

Betsan Mosaix is able to store 150.000m2 mosaic in its factory, producing 4.000 m2 for 8.000m2 indoor area for hundreds of different customers all over the world.

Betsan Mosaix is fully aware of the importance of environmental protection and all glass used as raw material is 100% recyclable. Betsan Mosaix is sensitive to the environment and has all the quality certificates.

Betsan Mosaix has always adopted an innovative approach and is the first manufacturer of the SilyCord system, which has been developed for fast and excellent mosaic application using advanced technology.

Betsan Mosaix has a full range of products for the design of colorful collections, new colors and patterns, modern pool, spa-wellness and decorative spaces.

Betsan Mosaix has achieved to provide the highest quality service to its customers with its products reaching to every corner of the world from any port of Turkey quickly and reliably."
"CEVICA","cevica.es","ES","CASTELLON","CANDIDATE B","ADVANCED","4-ADVANCED","The closest Spanish equivalent to what MEC sells. Cevica Lab is a design-your-own-product tool, not just a room preview. Strong A/B cohort row || THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","Three tools: a 3D visualizer, Cevica Lab (two applications that let you DESIGN AND CREATE YOUR OWN PRODUCTS for a project), and Overlapp, which shows instantly how a material looks in your room","in scope","bespoke/handmade language","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","51-200 employees","Construction","From the beginning, in 1986, CEVICA has specialized in the production
 of small size wall tiles, borders and special pieces. During more than
 30 years we have tiled many houses in Spain and all over the world.
 We have grown and we have bet by the service, the design and the
 improvement in all the areas from our work. And this improvement
 has been done with a special and deep respect for our enviroment.
 We also try, with our best effort, to offer a better answer to the
 market demand, and we do this by innovating and developing new
 projects with the latest technologies. We give life to anything that our
 customers can imagine."
"DURSTONE","durstone.es","ES","ONDA  (CASTELLÓN)","CANDIDATE B","ADVANCED","4-ADVANCED","THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","A Simulador 3D (Spark Blueprint) plus the Finzzi platform","in scope","own collections or trade-facing; also distributes, confirm the maker share","Ceramic / Tile (verify)","Cersaie 2026","10M-25M","11-50 employees","Wholesale Building Materials","Durstone es una empresa española dedicada principalmente a la comercialización de gres porcelánico. Nuestros productos se sitúan en el nivel más elevado de su gama siendo reconocidos entre los profesionales tanto por su calidad como por su estética.
En Durstone convivimos un equipo humano dinámico,  multidisciplinar y con amplia experiencia en el mercado cerámico. Desde hace casi 10 años ofrecemos colecciones diferentes, que dan un paso más allá de los comúnmente denominados ""materiales de construcción"". Sabemos las grandes cualidades técnicas de nuestros productos y potenciamos su vertiente estética y decorativa para ofrecer soluciones adecuadas a las necesidades de arquitectos, decoradores y distribuidores. Conócenos.

DURSTONE is a Spanish company which deals with porcelain tiles. Our products are recognized by professionals both for its technical quality and aesthetic characteristics.
In DURSTONE we are a dynamic and multidisciplinary team with a well experienced in the ceramic market. Since almost 10 years we offer a good range of collections, who step beyond the commonly called ""building materials"". We know about the great technical qualities of our products and we make an effort to show their decorative and aesthetically side and to provide solutions to the needs of architects, decorators and dealers. Meet us."
"HARMONY","harmonyinspire.com","ES","ONDA ( CASTELLON)","CANDIDATE B","ADVANCED","4-ADVANCED","A design house WITH a configurator. The clearest single test of the has-a-configurator A/B: they already invest in both design and tooling || THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","A 3D tool at /3d headed Configura un ambiente, Disena tu proyecto. Also runs named-designer collections (MUT, Dsignio, Estudi{H}AC)","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Glass, Ceramics and Concrete Manufacturing","Its wall and floor tile collections aspire to stand out from all the rest. With quality, innovation and superior design as our key values, we offer ingenious tile solutions conceived to bring a distinctive touch of personality to settings.  

At Harmony, we lend special importance to the design process, working with design studios worldwide to develop products that are simply unique. These studios share the same value that Harmony places on research, innovation and pioneering new ideas. Luca Nichetto, Jin Kuramoto, Yonoh, Stone Designs, Mut and Dsignio have created exclusive collections for Harmony that break away from conventional wall and floor tiles. 

Ceramic tiles, mosaics, and designs featuring marble, resin or glass: exclusive designs conceived to infuse living spaces with charisma and personality."
"KEOPE","keope.com","IT","CASALGRANDE","CANDIDATE B","ADVANCED","4-ADVANCED","THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","Match App at /tiles/design-your-room: a laying simulator and tile configurator. Upload a photo of your space and see tile combinations in real time","in scope","own collections or trade-facing; also distributes, confirm the maker share","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Wholesale Building Materials","Our industrial expertise in porcelain stoneware translates into collections where Italian design meets technological innovation.

From indoor elegance to outdoor durability, we craft versatile surfaces that seamlessly integrate with both natural landscapes and urban environments, while our sustainable approach and attention to detail reflect our commitment to excellence since 1995."
"LIFE CERAMICA","lifeceramica.com","ES","ALCORA","CANDIDATE B","ADVANCED","4-ADVANCED","THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","A /3d page exists on their own domain, but the indexed content is the cookie notice, so the tool could not be confirmed. Treat as probable, verify by eye","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","5M-10M","11-50 employees","Glass, Ceramics and Concrete Manufacturing","Fundada en 1984, y dedicada a la fabricación de revestimientos cerámicos y pavimentos porcelánicos en pequeño formato, así como colecciones en 3D. Nuestros productos recuerdan la tradición y raices históricas de nuestra cerámica. Es una nueva muestra de las terracotas esmaltadas hechas a mano capaces de conectar de nuevo con el pasado. Nuestro objetivo es dar la mejor atención a nuestros clientes, esperando que con nuestras propuestas puedan encontrar los productos que se adaptan a sus necesidades. Con una contstante inquietud de ofrecer productos innovadores así como de excelente calidad y diseño. 

The company was established in 1984, dedicated to the production of Wall tiles and porcelain floor tiles in small sizes, and 3D Tiles as well. Our wall tiles collections remind us the tradition and historical ceramic roots, it is a new sample of the manual glazed terracottas, capable of reconnecting with our past. Our goal is give the best service to our clients, hoping that with our proposals they will find products to meet their needs. The Company is driven by tis ongoing interest in offering innovative products, as well as excellent quality and design."
"MIRAGE","mirage.it","IT","PAVULLO NEL FRIGNANO","CANDIDATE B","ADVANCED","4-ADVANCED","THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","30+ collections and an invitation to imagine your bathroom, bedroom or living room and create your space with the configurator","in scope","own collections or trade-facing; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Glass, Ceramics and Concrete Manufacturing","Welcome to the Mirage community on Linkedin
News, ideas, discussions, and pics on our collections for contemporary Architectural.

Mirage designs and produces porcelain stoneware floors and coverings for commercial, public and residential spaces.
Through solid expertise and ""know-how"", Mirage is able to install ceramic solutions that can enhance any design theme in an environmentally-friendly manner. The staff at Mirage have been designing new living solutions for 40 years, collaborating with more than 160 countries around the world. They place a strong focus on the latest trends and constantly carry out innovative research.

Mirage is a guarantee of stability and reliability, ensured by solid experience that has marked milestones in the development of porcelain stoneware. Thorough knowledge of materials, combined with hard work in research and development, has allowed Mirage to offer ever-more innovative solutions synonymous with reliability and quality."
"MONOCIBEC","monocibec.it","IT","SASSUOLO","CANDIDATE B","ADVANCED","4-ADVANCED","Tool plus a human engineering service behind it. Same group as Fincibec || THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","Thema lets you observe and design an environment at the same time. Separately, Fincibec Engineering supports designers with special-piece proposals and estimates","in scope","own collections or trade-facing; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Glass, Ceramics and Concrete Manufacturing","Fincibec Group is a world industrial leader in the production of ceramic coverings for floors and walls. It strives to be a point of reference for the most demanding consumers, so that planners, architects and interior designers to interpret modern design trends in the most effective, aesthetically pleasing and versatile manner.  
In the early 1960s, Fincibec began manufacturing floor tiles with fine porcelain stoneware ceramic under the Cibec brand. In 1970, it started producing clear single-fire frost-resistant flooring and the production range was then completed with the introduction of decorative tiles for covering on white paste.  
The Group is focused on ongoing investment in technology and research, to create highly innovative products that meet current and future design needs. A complete and extensive range of formats, sizes, finishes and special pieces are presented in the catalogues for Monocibec, Century and Naxos, the three companies that make Fincibec products all over the world.   
Monocibec is a point of reference for the creation of fine porcelain stoneware products that combine elegance and innovation. Century offers architects and designers a vast selection of inimitable collections that are versatile and high performing. Naxos constantly strives to improve the look of its products and uses the most innovative ceramic technologies for modern design needs. 
Fincibec has three production facilities in Sassuolo (Monocibec), that is also the site of the administrative and management office, Roteglia (Century) and Solignano (Naxos), with annual production capacity of 10 million square metres and 3 logistical platforms within the district."
"ONIX","onixmosaico.com","ES","ONDA","CANDIDATE B","ADVANCED","4-ADVANCED","The most complete mosaic-configurator suite found, from a glass mosaic maker. Along with Appiani's MyCustom this is the competitive ceiling in mosaic || THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","A full suite. Mosaic Creator web app: pick HEX, PENTA or SQUARE formats, create random mixes, design your own, set the PERCENTAGE of each tile type, choose grout colour, preview, then export to PDF or image or share by email and social. Plus ONIX 3D Rendering for ultra-realistic real-time visualisation, a pool-water colour simulator, and Pixel Art customisation","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Glass, Ceramics and Concrete Manufacturing","In just a few years, ONIX has emerged as the leading global manufacturer of glass mosaics. Our commitment to innovation, technological prowess, and ongoing enhancements in production processes have established us as a prominent figure in the realm of decoration.

Our driving force is to provide the perfect ecological solution for commercial and residential projects that demand sustainable, design-oriented construction materials.

Our collections reflect our passion for pushing the boundaries of interior design, introducing new aesthetic proposals annually, aligning with the latest trends and sector needs.

With over two decades of experience, our unwavering goal is to explore the limitless possibilities of our imagination.

Learn more by filling out the form on this page or by contacting us directly at onix@onixmosaico.com.

_

En tan solo unos años, ONIX ha logrado posicionarse como el principal fabricante mundial de mosaicos de vidrio. Nuestra dedicación a la innovación junto a nuestro potencial tecnológico y la mejora continua en los procesos de producción nos han permitido destacar como referente en el mundo de la decoración.

Nuestra motivación principal es ofrecer la solución ecológica ideal para proyectos comerciales y residenciales que requieran materiales de construcción sostenibles y del más alto nivel de diseño.

Nuestras colecciones reflejan nuestra pasión por trascender los límites del interiorismo y presentar nuevas propuestas estéticas cada año, siempre en sintonía con las últimas tendencias y las necesidades del sector.

Más de dos décadas de experiencia y siempre con el mismo objetivo: llegar tan lejos como alcance nuestra imaginación.

Obtén más información cumplimentando el formulario en esta página o contactándonos directamente a través de onix@onixmosaico.com."
"ROCA TILES","rocatiles.com","ES","LA VALL D´UIXÓ","CANDIDATE B","ADVANCED","4-ADVANCED","THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","Roca Tiles 3D: realistic visualisation from any angle, real-time changes, a wide selection of materials, colours and textures, furniture placement, and it is free and open access","in scope","own collections or trade-facing; 200+ employees, long cycle per the S7.4 decision-maker table","Ceramic / Tile (verify)","Cersaie 2026","75M-200M","201-500 employees","Glass, Ceramics and Concrete Manufacturing","Roca Tiles es una compañía dedicada al diseño, la producción y la comercialización de pavimentos y revestimientos cerámicos destinados a la arquitectura, la construcción y el interiorismo.

El equipo de investigación y desarrollo de Roca estudia los procesos adecuados para obtener la mejor versión de cada colección. La capacidad técnica de Roca en el proceso de fabricación propicia el desarrollo de acabados ricos en cromatismos, altamente complejos, exclusivos de la firma.
Roca Tiles es tradición, oficio, pasión y futuro en suelos y paredes innovadores, para profesionales del diseño de espacios."
"Roca / Lamosa USA","rocatileusa.com","US","Miami","CANDIDATE B","ADVANCED","4-ADVANCED","THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","A Visualizer plus a Design Studio section","in scope","hand-verified on 14 Sept: FLAG enterprise. Roca Tile's tile division was bought by Grupo Lamosa in Sept 2021 and the two run together as ROCA TILE USA and LAMOSA USA, with design studios and showrooms in Mi","Tile / Stone (verify)","Coverings 2027","75M-200M","51-200 employees","Wholesale Building Materials","Over 100 years of history to become a reference company worldwide.

Roca began its activity as a company that made cast iron radiators for domestic heating at its factory in Gavà, near Barcelona. After these first radiators, the firm expanded its portfolio with the production of boilers. In 1929, Roca entered the bathroom space by starting the production of baths.

Always attentive to the changes in society related to water culture, the main natural resource Roca works with, the company assumed in 1936 the challenge of producing vitreous china bathroom appliances. After that, in 1954 Roca started the production of brassware.

In the 90s the Group developed a first step of international expansion, mainly based on setting up commercial branches and signing agreements with local leading brands. Besides Portugal and France, Roca’s presence started to spread over the United Kingdom, Germany, Italy, Russia, Morocco, Argentina, Brazil and China.

The turning point of the internationalization process took place in 1999, with the acquisition of the Swiss Keramik Holding Laufen, fourth global manufacturer in those days. The acquisition of Laufen allowed the Group to strengthen its position in strategic markets where the brand had less presence, such as Eastern Europe, Brazil and the USA.

In 2005 Roca announces an ambitious strategic plan focused on bathroom spaces, achieving the world leadership of the sector in 2006.

Today, Roca is a global brand with presence in more than 170 markets, supplied by its 78 production plants and over 22.600 employees worldwide.

Roca Tile USA is an offspring of the Roca Corporation. It is a worldwide leader in manufacturing, distributing and marketing of high-quality ceramic and porcelain tile under two brands Roca and United States Ceramic Tile. The company’s product range offers solutions for multiple uses, from versatile wall tile to highly resistant indoor and outdoor floor tiles, including single colors, marble, wood, concrete, fabric, decorative tiles and a wide array of complementary pieces."
"StoneImpressions/Artisan Stone Tile","stoneimpressions.com","US","","CANDIDATE B","ADVANCED","4-ADVANCED","Already solved for their own catalogue. The gap is originating a pattern rather than recombining || THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","An interactive product customizer: pair stone bases with pattern overlays and mix and match until it fits, plus a visualizer showing patterns on different stone types","in scope","hand-verified on 14 Sept: PASS. Made-to-order pattern tile printed on natural stone, sold through showrooms across North America. Flat 2D patterns, which is the engine's native output. Artisan Stone Tile is","Decorative / Artisan Tile","TCNA","10M-25M","11-50 employees","Wholesale Building Materials","StoneImpressions sets the precedent for creating gorgeous, timeless, decorative stone tiles with virtually limitless options.

Each tile is hand selected and inspected before production, ensuring the highest quality stone possible is utilized to create your tile.

Our tiles are manufactured in a state-of-the-art warehouse in San Diego, California for distribution across the country and in Canada. Please check out our website to learn more."
"TAGINA","tagina.it","IT","CASTEL BOLOGNESE","CANDIDATE B","ADVANCED","4-ADVANCED","THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","A design tool for personalising home environments by experimenting with combinations of formats, colours and surfaces, plus a Decors project spanning all products. Confidence medium, confirm by eye","in scope","own collections or trade-facing","Ceramic / Tile (verify)","Cersaie 2026","25M-75M","51-200 employees","Glass, Ceramics and Concrete Manufacturing","Tagina è un’azienda italiana fondata nel 1973, leader da 50 anni nel settore di alta gamma della ceramica da pavimenti e rivestimenti.
Le nostre collezioni in gres fine porcellanato abbracciano le principali categorie di ispirazioni materiche quali marmi, pietre, essenze lignee, superfici contemporanee effetto cemento o soluzioni di tendenza con brillantini e lucidature, in piena continuità stilistica indoor outdoor."
"TIEIC Ceramics","tieic.com","US","","CANDIDATE B","ADVANCED","4-ADVANCED","Upgrades my 14 Sept FLAG: they have both the custom offering and the tooling. The open question stays who chooses, them or the importer || THE A/B COHORT (S11). Never say they lack a tool. Their tool PLACES or RECOMBINES existing designs; it cannot ORIGINATE one. Pitch generation, not visualisation","A 3D Tile Visualizer, plus a Custom Tiles page offering customisation of size, shape, colour and finish across eleven finishes, and a mosaic customisation path","in scope","hand-verified on 14 Sept: FLAG. A Pennsylvania-registered entity selling tile made in Morbi into North America, and the one commodity-adjacent row with a real design hook: it runs dedicated CUSTOM TILES and","Tile / Stone (verify)","Coverings 2027","75M-200M","501-1,000 employees","Consumer Goods","""Made for the Americas"" 

TIEIC Ceramics is dedicated to crafting high-quality ceramic and porcelain tiles and mosaic products tailored specifically for the North American market. With a focus on customization and innovation, we bring exclusive designs and services to our clients through our local presence in the US.

Our commitment to quality is unwavering, backed by advanced technology, technical expertise, and stringent quality control measures. Embracing American and Canadian company culture, we strive to exceed expectations in every aspect of our business."
